jahr,krankenkasse_x,quartal,mitglieder,versicherte,zusatzbeitrag,kasse_clean,krankenkasse_y,marktanteil versicherte,marktanteil mitglieder,insured_lag,churn_rate,zusatzbeitrag_lag,treatment_flag,morbidity_index,Mitglied/Kunde einer Krankenkasse/Krankenversicherung,zusatzbeitrag_avg,propensity_score,treatment
2025,AOK NordWest,1,2224273,2960003,2.79,aok nordwest,AOK NORDWEST,0.0401792251624292,0.0383307822706147,2963882.0,0.0013087565564351,1.89,True,1.011771642118803,,2.9382978723404256,0.0026250746564051397,1
2017,AOK PLUS,1,2553127,3106029,0.6,aok plus,AOK PLUS,0.0441659857971228,0.0465823865533603,3083961.0,-0.0071557325141271,0.3,True,1.105734951421119,,1.0274342306083823,0.028836135812632734,1
2021,AOK PLUS,1,2727491,3407820,1.2,aok plus,AOK PLUS,0.0470447293410744,0.0479969131915008,3408120.0,8.802506953980494e-05,0.6,True,1.07,,1.2246601941747572,0.013426586031154457,1
2023,AOK PLUS,1,2761837,3482774,1.5,aok plus,AOK PLUS,0.047398035920685,0.047856007727728,3478816.0,-0.0011377434161507,1.2,True,1.07,AOK Plus,1.4433272837265578,0.009293691936765883,1
2024,AOK PLUS,1,2767970,3492839,1.8,aok plus,AOK PLUS,0.0473252310634484,0.0476603531964127,3497348.0,0.001289262606981,1.5,True,1.07,AOK Plus,1.6360739436619718,0.006541297756509927,1
2025,AOK PLUS,1,2767866,3491693,3.1,aok plus,AOK PLUS,0.0472370306059982,0.0474414359581303,3499833.0,0.0023258252608053,1.8,True,1.062356862755748,,2.9382978723404256,0.001465547040339872,1
2016,atlas BKK ahlmann,1,42622,59035,1.2,atlas bkk ahlmann,atlas BKK ahlmann,0.0008283215838763,0.0007780594438877,59097.0,0.0010491226288982,0.9,True,0.763179701606665,,0.964970617772008,0.052218527521784824,1
2020,atlas BKK ahlmann,1,44608,59816,1.7,atlas bkk ahlmann,atlas BKK ahlmann,0.000816686386889,0.0007828193600371,59711.0,-0.0017584699636582,1.2,True,0.8220710523871503,,1.0725714285714285,0.028653623562711398,1
2021,Audi BKK,1,550952,738424,1.1,audi bkk,Audi BKK,0.0101921466032377,0.0097319104113575,739071.0,0.0008754233355117,0.7,True,0.83,,1.2246601941747572,0.0443522496404976,1
2023,Audi BKK,1,562737,746898,1.25,audi bkk,Audi BKK,0.0101936085088315,0.0098107745544122,747429.0,0.0007104353724567,1.1,True,0.85,Audi BKK,1.4433272837265578,0.03688843798794056,1
2025,Audi BKK,1,598409,783367,2.4,audi bkk,Audi BKK,0.0107228118210151,0.0104176503651737,779551.0,-0.0048951255273869,1.0,True,0.8717571153576876,,2.9382978723404256,0.00973361154853375,1
2016,BARMER,1,7618418,9597004,1.1,barmer,BARMER,0.1343575263236015,0.1385215612948613,9687277.0,0.0093187177366766,0.9,True,1.044031742647722,,0.964970617772008,0.0017598813212175682,1
2021,BARMER,1,7208444,8840550,1.5,barmer,BARMER,0.1208854575681701,0.1261349083294513,8931616.0,0.0101959152744587,1.1,True,1.11,,1.2246601941747572,0.0013686699415266586,1
2024,BARMER,1,7108403,8625352,2.19,barmer,BARMER,0.1152228533999455,0.1209589921400693,8673609.0,0.0055636586800258,1.5,True,1.15,Barmer,1.6360739436619718,0.0006531292124867025,1
2025,BARMER,1,6976923,8432900,3.29,barmer,BARMER,0.1135249858297557,0.118961486948034,8473713.0,0.0048164246299113,2.19,True,1.15993902951979,,2.9382978723404256,0.0001943497394267866,1
2016,Bertelsmann BKK,1,34392,47530,1.05,bertelsmann bkk,Bertelsmann BKK,0.0006846908950294,0.0006445472583325,47365.0,-0.0034835849255779,0.7,True,0.7594529040028013,,0.964970617772008,0.06192077320146118,1
2017,Bertelsmann BKK,1,35287,49082,1.28,bertelsmann bkk,Bertelsmann BKK,0.0006809440539852,0.0006417080576842,49119.0,0.0007532726643457,1.05,True,0.7752658634362549,,1.0274342306083823,0.04755293455931492,1
2020,Bertelsmann BKK,1,35644,47931,1.25,bertelsmann bkk,Bertelsmann BKK,0.0006572312794129,0.0006283570638437,48127.0,0.0040725580235626,1.1,True,0.8196391881011196,,1.0725714285714285,0.047597840182838594,1
2023,Bertelsmann BKK,1,36670,48057,1.4,bertelsmann bkk,Bertelsmann BKK,0.0006498367282164,0.0006348985749548,47950.0,-0.0022314911366006,1.0,True,0.87,,1.4433272837265578,0.03884264653182955,1
2024,Bertelsmann BKK,4,37305,48030,2.5,bertelsmann bkk,Bertelsmann BKK,0.0006487350559012,0.0006367143780801,47960.0,-0.0014595496246872,1.4,True,0.89,,2.0202699530516433,0.011005249933361348,1
2025,Bertelsmann BKK,1,36851,47456,3.2,bertelsmann bkk,Bertelsmann BKK,0.0006391926830285,0.0006304155692622,48030.0,0.0119508640433062,2.5,True,0.8944665669705366,,2.9382978723404256,0.0049044025346195496,1
2016,Betriebskrankenkasse Mobil,2,781138,1093582,1.1,betriebskrankenkasse mobil,Betriebskrankenkasse Mobil,0.0153297992496852,0.0142159951144484,1064830.0,-0.027001493196097,0.8,True,0.7178671561765938,,0.967512990653364,0.04322665609370553,1
2021,Betriebskrankenkasse Mobil,1,740453,989325,1.29,betriebskrankenkasse mobil,Betriebskrankenkasse Mobil,0.01342826045882,0.0128973475258453,998231.0,0.0089217826334786,1.1,True,0.82,,1.2246601941747572,0.03316264204406274,1
2023,Betriebskrankenkasse Mobil,1,732932,959439,1.49,betriebskrankenkasse mobil,Betriebskrankenkasse Mobil,0.0129723792478874,0.0126933697819055,963145.0,0.0038478110772521,1.29,True,0.86,,1.4433272837265578,0.02601130997165027,1
2025,Betriebskrankenkasse Mobil,1,742965,950140,3.89,betriebskrankenkasse mobil,Betriebskrankenkasse Mobil,0.0128806000765731,0.0127358097503466,950686.0,0.0005743221210788,1.49,True,0.9040590559167282,,2.9382978723404256,0.0016054477739166823,1
2016,BKK Achenbach Buschhütten,1,18615,26456,1.1,bkk achenbach buschhütten,BKK Achenbach Buschhütten,0.0003723784735406,0.000341293266224,26394.0,-0.0023490187163749,0.7,True,0.7966029205443471,,0.964970617772008,0.05747683768017573,1
2019,BKK Achenbach Buschhütten,1,18933,25780,1.4,bkk achenbach buschhütten,BKK Achenbach Buschhütten,0.0003522822545331,0.0003337254735874,25873.0,0.0035944807328102,1.1,True,0.8552595412232494,,0.9993577981651376,0.0395579871399785,1
2016,BKK advita,1,29653,37589,1.1,bkk advita,BKK advita,0.000529049818425,0.0005421099242894,37753.0,0.0043440256403464,0.9,True,1.138417701400038,,0.964970617772008,0.04462299194597501,1
2016,BKK Aesculap,1,6717,9539,1.0,bkk aesculap,BKK Aesculap,0.0001366728496406,0.0001249757410515,9520.0,-0.0019957983193277,0.8,True,0.7131508976290638,,0.964970617772008,0.06841287479940894,1
2016,BKK B. Braun Aesculap,1,19790,26631,1.2,bkk b. braun aesculap,BKK B. Braun Aesculap,0.0003790540474646,0.0003604317188906,26521.0,-0.0041476565740356,0.9,True,0.7946729368690848,,0.964970617772008,0.0515837690184365,1
2017,BKK B. Braun Aesculap,1,19974,27084,1.3,bkk b. braun aesculap,BKK B. Braun Aesculap,0.0003828101192681,0.0003639557051734,27016.0,-0.0025170269469943,1.2,True,0.8002012497598532,,1.0274342306083823,0.04600734588619126,1
2021,BKK B. Braun Aesculap,1,21493,28895,1.3,bkk b. braun aesculap,BKK B. Braun Aesculap,0.0003987964673181,0.0003796632288396,28811.0,-0.0029155530873624,1.1,True,0.8,,1.2246601941747572,0.045986793142116685,1
2022,BKK B. Braun Aesculap,1,21765,29200,1.5,bkk b. braun aesculap,BKK B. Braun Aesculap,0.0003996945238761,0.0003808506291202,29087.0,-0.0038848970330388,1.3,True,0.8247052773169643,,1.2747422680412372,0.03615541126571709,1
2023,BKK B. Braun Aesculap,1,21903,29282,1.75,bkk b. braun aesculap,BKK B. Braun Aesculap,0.0003973062701019,0.0003790188795282,29256.0,-0.0008887065901011,1.5,True,0.83,,1.4433272837265578,0.0272029449442342,1
2025,BKK B. Braun Aesculap,1,22253,29608,2.95,bkk b. braun aesculap,BKK B. Braun Aesculap,0.0004027746402616,0.00038335167721,29550.0,-0.0019627749576988,1.75,True,0.8407592621603179,,2.9382978723404256,0.0068584581835113845,1
2016,BKK BPW Bergische Achsen,1,4566,6596,1.1,bkk bpw bergische achsen,BKK BPW Bergische Achsen,9.299229722037426e-05,8.306125015919008e-05,6599.0,0.0004546143355053,0.8,True,0.8781671270198276,,0.964970617772008,0.054526365266535315,1
2017,BKK BPW Bergische Achsen,1,4570,6619,1.39,bkk bpw bergische achsen,BKK BPW Bergische Achsen,9.242990215970738e-05,8.220562041051275e-05,6583.0,-0.0054686313231049,1.1,True,0.8835896553813686,,1.0274342306083823,0.03942539809870247,1
2022,BKK BPW Bergische Achsen,1,4622,6523,1.6,bkk bpw bergische achsen,BKK BPW Bergische Achsen,8.908095587587054e-05,8.070867880076232e-05,6572.0,0.0074558734023128,1.1,True,0.8789915960162915,,1.2747422680412372,0.03128405959195444,1
2023,BKK BPW Bergische Achsen,1,4607,6467,1.8,bkk bpw bergische achsen,BKK BPW Bergische Achsen,8.752183313666441e-05,7.973426517621178e-05,6491.0,0.0036974272069018,1.6,True,0.95,,1.4433272837265578,0.02368115041941835,1
2017,BKK Deutsche Bank AG,1,59686,81265,1.1,bkk deutsche bank ag,BKK Deutsche Bank AG,0.001128424369308,0.0010722926337271,81299.0,0.0004182093260679,0.7,True,0.8510810646149202,,1.0274342306083823,0.05426355783295789,1
2020,BKK Deutsche Bank AG,1,59852,79471,1.3,bkk deutsche bank ag,BKK Deutsche Bank AG,0.0010868287340127,0.001053009371356,79705.0,0.0029358258578508,1.1,True,0.8842705333555156,,1.0725714285714285,0.04250236634845023,1
2023,BKK Deutsche Bank AG,1,60650,78637,1.6,bkk deutsche bank ag,BKK Deutsche Bank AG,0.0010655450943156,0.0010527898549714,78684.0,0.0005973260129124,1.3,True,0.95,BKK Deutsche Bank AG,1.4433272837265578,0.02895938371298578,1
2024,BKK Deutsche Bank AG,1,60812,78090,1.9,bkk deutsche bank ag,BKK Deutsche Bank AG,0.0010492982020068,0.00104416861185,78436.0,0.0044112397368555,1.6,True,0.97,BKK Deutsche Bank AG,1.6360739436619718,0.020326320001274954,1
2025,BKK Deutsche Bank AG,1,60558,76951,3.4,bkk deutsche bank ag,BKK Deutsche Bank AG,0.0010370460004004,0.0010344373859257,77377.0,0.0055055119738423,1.9,True,0.9814838215141036,,2.9382978723404256,0.003606255418301473,1
2016,BKK Diakonie,1,21192,27643,1.1,bkk diakonie,BKK Diakonie,0.0003992360151418,0.0003982699204375,27476.0,-0.0060780317367884,0.9,True,0.9068411162517146,,0.964970617772008,0.05303608372765577,1
2021,BKK Diakonie,1,26624,33580,1.4,bkk diakonie,BKK Diakonie,0.0004667015818491,0.0004738360293601,33395.0,-0.0055397514597993,1.1,True,0.92,,1.2246601941747572,0.037615436324452134,1
2023,BKK Diakonie,1,28128,35020,1.6,bkk diakonie,BKK Diakonie,0.0004758236878059,0.0004875225269973,34986.0,-0.0009718172983479,1.4,True,0.94,,1.4433272837265578,0.02960903384302946,1
2024,BKK Diakonie,1,28281,35089,1.8,bkk diakonie,BKK Diakonie,0.0004683641700447,0.0004812610715421,35096.0,0.0001994529291087,1.6,True,0.95,,1.6360739436619718,0.023452669406515317,1
2024,BKK Diakonie,3,28015,34755,2.69,bkk diakonie,BKK Diakonie,0.0004683641700447,0.0004812610715421,34810.0,0.0015800057454754,1.8,True,0.95,,1.7955281690140843,0.008493022896004314,1
2025,BKK Diakonie,1,27647,34062,3.8,bkk diakonie,BKK Diakonie,0.0004561473468815,0.0004687855474807,34298.0,0.006880867689078,2.69,True,0.9579754189226796,,2.9382978723404256,0.0023480035497558138,1
2016,BKK EUREGIO,1,39109,53052,0.7,bkk euregio,BKK EUREGIO,0.0007726870967549,0.0007380642820593,51541.0,-0.0293164665023961,0.0,True,0.7639173706435385,,0.964970617772008,0.08969259636226483,1
2022,BKK EUREGIO,3,67027,87093,0.8400000000000001,bkk euregio,BKK EUREGIO,0.0011563148620496,0.0011387784945855,83357.0,-0.0448192713269431,0.35,True,0.8085331147304582,,1.2661855670103093,0.07412970159348924,1
2024,BKK EUREGIO,1,71999,91482,1.25,bkk euregio,BKK EUREGIO,0.0011653758627307,0.0011528939992648,90527.0,-0.0105493388712759,0.8400000000000001,True,0.81,BKK Euregio,1.6360739436619718,0.04726763204797809,1
2024,BKK EUREGIO,3,68511,88274,1.79,bkk euregio,BKK EUREGIO,0.0011653758627307,0.0011528939992648,88888.0,0.0069075690756907,1.25,True,0.81,BKK Euregio,1.7955281690140843,0.025868632490193777,1
2025,BKK EUREGIO,1,61884,79325,3.39,bkk euregio,BKK EUREGIO,0.0010275995086733,0.0010277802560146,81207.0,0.0231753420271651,1.79,True,0.8061265555729196,,2.9382978723404256,0.004166809661479747,1
2016,BKK evm,1,1566,2005,1.1,bkk evm,BKK evm,2.828298127631357e-05,2.868026001315344e-05,2005.0,0.0,0.9,True,0.9899371664212174,,0.964970617772008,0.05033928749951127,1
2021,BKK evm,1,1643,2039,1.3,bkk evm,BKK evm,2.793747574951934e-05,2.892889950628608e-05,2044.0,0.0024461839530332,0.9,True,1.04,,1.2246601941747572,0.038884162518872,1
2023,BKK evm,1,1705,2089,0.9,bkk evm,BKK evm,2.855918509231719e-05,2.977276423698425e-05,2085.0,-0.0019184652278177,0.0,True,1.07,,1.4433272837265578,0.059123009896375214,1
2024,BKK evm,1,1743,2136,1.3,bkk evm,BKK evm,2.921783027336138e-05,3.030153376096978e-05,2113.0,-0.0108849976336961,0.9,True,1.07,,1.6360739436619718,0.03803060811230269,1
2025,BKK evm,1,1785,2187,2.5,bkk evm,BKK evm,2.994396018720684e-05,3.085272453341703e-05,2179.0,-0.0036714089031665,1.3,True,1.07352385529295,,2.9382978723404256,0.009722995292385883,1
2016,BKK EWE,1,9866,13810,0.9,bkk ewe,BKK EWE,0.0001966542221078,0.0001821169091848,13784.0,-0.0018862449216482,0.7,True,0.8262195581615064,,0.964970617772008,0.07018366375223355,1
2025,BKK EWE,1,11459,15201,1.98,bkk ewe,BKK EWE,0.0002076741008491,0.0001983608822319,15091.0,-0.0072891127161884,0.9,True,0.9389467509408096,,2.9382978723404256,0.019414604806861743,1
2016,BKK exklusiv,1,20564,26962,1.09,bkk exklusiv,BKK exklusiv,0.0003805218269321,0.0003758960273489,26610.0,-0.013228109733183,0.6,True,0.8890288733332363,,0.964970617772008,0.0543354113533864,1
2022,BKK exklusiv,1,21010,26989,1.29,bkk exklusiv,BKK exklusiv,0.0004073014984525,0.0004048361304175,26968.0,-0.0007787006822901,0.99,True,0.9550540143623718,,1.2747422680412372,0.04151572466884819,1
2023,BKK exklusiv,1,21010,26989,1.99,bkk exklusiv,BKK exklusiv,0.0004047376250072,0.0003988616224566,26989.0,0.0,1.29,True,0.96,,1.4433272837265578,0.018816574350628057,1
2025,BKK exklusiv,1,21010,26989,2.39,bkk exklusiv,BKK exklusiv,0.000366822866209,0.0003629306042965,26989.0,0.0,1.99,True,0.9635810800577066,,2.9382978723404256,0.011889213093131967,1
2021,BKK firmus,3,163629,210160,0.8400000000000001,bkk firmus,BKK firmus,0.0026744908502219,0.0026719575709948,196118.0,-0.0715997511702138,0.44,True,0.74,,1.230686274509804,0.07506421415356858,1
2023,BKK firmus,1,202519,259497,0.9,bkk firmus,BKK firmus,0.0040732232618418,0.0040595968472652,253825.0,-0.0223461045996257,0.8400000000000001,True,0.7,BKK firmus,1.4433272837265578,0.07108284871344538,1
2025,BKK firmus,1,418353,533070,1.84,bkk firmus,BKK firmus,0.0078520726255224,0.0076597155000374,489463.0,-0.0890915145782214,0.9,True,0.6253779519859399,,2.9382978723404256,0.02451684331502575,1
2017,BKK Freudenberg,1,22078,28931,0.9,bkk freudenberg,BKK Freudenberg,0.0004144396988463,0.0004083449394148,28478.0,-0.0159070159421307,0.7,True,0.9136930802073606,,1.0274342306083823,0.06560739069698748,1
2021,BKK Freudenberg,1,28246,36621,1.3,bkk freudenberg,BKK Freudenberg,0.0004994511228114,0.0004923540422355,36275.0,-0.009538249483115,0.7,True,0.89,,1.2246601941747572,0.04293875929203913,1
2023,BKK Freudenberg,1,28455,36841,1.5,bkk freudenberg,BKK Freudenberg,0.0004996094478495,0.0004916917519718,36697.0,-0.0039240264871787,1.3,True,0.89,,1.4433272837265578,0.034358816935474046,1
2025,BKK Freudenberg,1,30613,39607,2.49,bkk freudenberg,BKK Freudenberg,0.000549140740779,0.0005360183431428,38740.0,-0.0223799690242643,1.5,True,0.9000675730089399,,2.9382978723404256,0.011082211546314079,1
2016,BKK Gildemeister Seidensticker,1,130724,183705,1.2,bkk gildemeister seidensticker,BKK Gildemeister Seidensticker,0.0025474865116359,0.0023598059444984,183412.0,-0.001597496347022,0.7,True,0.7339693084872598,,0.964970617772008,0.05120357215890752,1
2020,BKK Gildemeister Seidensticker,1,128685,173925,1.2,bkk gildemeister seidensticker,BKK Gildemeister Seidensticker,0.0023940552142834,0.0022807034169142,174976.0,0.0060065380395025,1.1,True,0.7979370688592827,,1.0725714285714285,0.04900318144057194,1
2024,BKK Gildemeister Seidensticker,1,144999,188644,1.5,bkk gildemeister seidensticker,BKK Gildemeister Seidensticker,0.002517622391516,0.0024595129367063,186835.0,-0.0096823400326491,0.9,True,0.86,BKK Gildemeister Seidensticker,1.6360739436619718,0.03340776080264029,1
2024,BKK Gildemeister Seidensticker,3,143824,187363,1.99,bkk gildemeister seidensticker,BKK Gildemeister Seidensticker,0.002517622391516,0.0024595129367063,188407.0,0.0055411953908294,1.5,True,0.86,BKK Gildemeister Seidensticker,1.7955281690140843,0.019205125462044868,1
2024,BKK Gildemeister Seidensticker,4,142017,183609,3.4,bkk gildemeister seidensticker,BKK Gildemeister Seidensticker,0.002517622391516,0.0024595129367063,187363.0,0.0200359729509027,1.99,True,0.86,BKK Gildemeister Seidensticker,2.0202699530516433,0.0038101422773433495,1
2016,BKK Henschel Plus,1,15652,20920,1.2,bkk henschel plus,BKK Henschel Plus,0.0002957716759519,0.0002874606558106,21104.0,0.0087187263078089,0.9,True,0.9338821020005716,,0.964970617772008,0.04667669606528646,1
2017,BKK Henschel Plus,1,15678,20818,1.6,bkk henschel plus,BKK Henschel Plus,0.0002886338843137,0.0002812458662806,20924.0,0.0050659529726629,1.2,True,0.945097688747328,,1.0274342306083823,0.029636707561984707,1
2016,BKK Herkules,1,24046,32909,1.1,bkk herkules,BKK Herkules,0.0004632396678804,0.0004398188248416,33031.0,0.0036935000454118,0.8,True,0.7947401939706408,,0.964970617772008,0.05742961778298674,1
2019,BKK Herkules,2,24627,32895,1.5,bkk herkules,BKK Herkules,0.0004508539241236,0.000433335514779,32845.0,-0.0015223017202009,1.1,True,0.845460187201362,,1.0014984709480124,0.03555880301443032,1
2019,BKK Herkules,3,24504,32777,1.7,bkk herkules,BKK Herkules,0.0004508539241236,0.000433335514779,32895.0,0.0035871713026295,1.5,True,0.845460187201362,,1.0157798165137617,0.028413300088526834,1
2020,BKK Herkules,1,24105,31948,2.2,bkk herkules,BKK Herkules,0.0004269699051624,0.0004140386444249,32290.0,0.0105915144007432,1.7,True,0.8706439969819323,,1.0725714285714285,0.015821190432259078,1
2024,BKK Herkules,4,25493,32492,2.39,bkk herkules,BKK Herkules,0.0004300302137519,0.0004278675724436,32011.0,-0.0150260847833557,1.09,True,0.94,,2.0202699530516433,0.012083218072609323,1
2025,BKK Herkules,1,25744,32777,3.48,bkk herkules,BKK Herkules,0.0004484175752656,0.0004442137809177,32492.0,-0.0087713898805859,2.39,True,0.9524359098219932,,2.9382978723404256,0.003414707875591925,1
2020,BKK Karl Mayer,1,4734,6205,1.3,bkk karl mayer,BKK Karl Mayer,8.53609647044915e-05,8.346358979338436e-05,6246.0,0.0065642010886967,0.9,True,0.958571467285676,,1.0725714285714285,0.0412342913101233,1
2020,BKK Karl Mayer,2,4734,6205,1.9,bkk karl mayer,BKK Karl Mayer,8.53609647044915e-05,8.346358979338436e-05,6205.0,0.0,1.3,True,0.958571467285676,,1.0878095238095238,0.021011574801333237,1
2023,BKK Karl Mayer,1,4730,6079,1.9,bkk karl mayer,BKK Karl Mayer,8.243650815583868e-05,8.182752750780685e-05,6079.0,0.0,1.5,True,0.0,,1.4433272837265578,0.04291799859939974,1
2023,BKK Karl Mayer,4,4730,6079,2.5,bkk karl mayer,BKK Karl Mayer,8.243650815583868e-05,8.182752750780685e-05,6079.0,0.0,1.9,True,0.0,,1.4430127041742289,0.021888080992591562,1
2025,BKK Karl Mayer,1,4730,6079,2.9,bkk karl mayer,BKK Karl Mayer,8.242511921349819e-05,8.121508017062233e-05,6079.0,0.0,2.3,True,1.138026901989282,,2.9382978723404256,0.0058362452912610946,1
2016,BKK Linde,1,66760,89540,1.1,bkk linde,BKK Linde,0.0013157090466488,0.0012744893364544,87854.0,-0.0191909304072666,0.9,True,0.7490259247544304,,0.964970617772008,0.05830784407218357,1
2021,BKK Linde,1,109719,144661,1.3,bkk linde,BKK Linde,0.0020933996038865,0.0020305097840697,141510.0,-0.0222669775987562,1.1,True,0.7,,1.2246601941747572,0.04767145639328635,1
2023,BKK Linde,1,139314,183542,1.5,bkk linde,BKK Linde,0.002625899089699,0.0025364630561664,177121.0,-0.036252053680817,1.3,True,0.68,BKK Linde,1.4433272837265578,0.038299733541452635,1
2025,BKK Linde,1,175713,231669,2.5,bkk linde,BKK Linde,0.0032357031953765,0.0030903168521935,225524.0,-0.0272476543516432,1.5,True,0.6573052216211883,,2.9382978723404256,0.012357102895539613,1
2016,BKK MAHLE,1,9557,12684,0.9,bkk mahle,BKK MAHLE,0.0001821175600746,0.0001778943852441,12576.0,-0.0085877862595419,0.7,True,0.9891774477080666,,0.964970617772008,0.06246137528049701,1
2021,BKK MAHLE,1,10868,14289,1.1,bkk mahle,BKK MAHLE,0.000197968362853,0.0001920386520417,14270.0,-0.0013314646110721,0.7,True,0.91,,1.2246601941747572,0.05314446214207044,1
2023,BKK MAHLE,1,11070,14565,1.5,bkk mahle,BKK MAHLE,0.0002010781349987,0.0001941860005567,14504.0,-0.0042057363485934,1.1,True,0.0,,1.4433272837265578,0.06635155308413256,1
2024,BKK MAHLE,1,11218,14764,2.2,bkk mahle,BKK MAHLE,0.0001998070231878,0.0001930401539495,14730.0,-0.0023082145281737,1.5,True,0.86,,1.6360739436619718,0.016045035312643542,1
